Code,Name_kanji,Name_romaji,Name_one_char,Name_full
01,北海道,Hokkaido,道,北海道
02,青森,Aomori,青,青森県
03,岩手,Iwate,岩,岩手県
04,宮城,Miyagi,城,宮城県
05,秋田,Akita,秋,秋田県
06,山形,Yamagata,形,山形県
07,福島,Fukushima,磐,福島県
08,茨城,Ibaraki,茨,茨城県
09,栃木,Tochigi,栃,栃木県
10,群馬,Gunma,群,群馬県
11,埼玉,Saitama,埼,埼玉県
12,千葉,Chiba,葉,千葉県
13,東京,Tokyo,東,東京都
14,神奈川,Kanagawa,神,神奈川県
15,新潟,Niigata,越,新潟県
16,富山,Toyama,富,富山県
17,石川,Ishikawa,石,石川県
18,福井,Fukui,井,福井県
19,山梨,Yamanashi,甲,山梨県
20,長野,Nagano,信,長野県
21,岐阜,Gifu,岐,岐阜県
22,静岡,Shizuoka,静,静岡県
23,愛知,Aichi,名,愛知県
24,三重,Mie,三,三重県
25,滋賀,Shiga,滋,滋賀県
26,京都,Kyoto,京,京都府
27,大阪,Osaka,阪,大阪府
28,兵庫,Hyogo,兵,兵庫県
29,奈良,Nara,奈,奈良県
30,和歌山,Wakayama,紀,和歌山県
31,鳥取,Tottori,因,鳥取県
32,島根,Shimane,雲,島根県
33,岡山,Okayama,岡,岡山県
34,広島,Hiroshima,広,広島県
35,山口,Yamaguchi,防,山口県
36,徳島,Tokushima,徳,徳島県
37,香川,Kagawa,香,香川県
38,愛媛,Ehime,媛,愛媛県
39,高知,Kochi,高,高知県
40,福岡,Fukuoka,筑,福岡県
41,佐賀,Saga,佐,佐賀県
42,長崎,Nagasaki,崎,長崎県
43,熊本,Kumamoto,熊,熊本県
44,大分,Oita,分,大分県
45,宮崎,Miyazaki,向,宮崎県
46,鹿児島,Kagoshima,鹿,鹿児島県
47,沖縄,Okinawa,沖,沖縄県
